company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Walmart,stage1,remaining ~193 *Stores* monthlies + the NRDGA/NRMA membership roster / chain directory [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED),Owner at release time: — | anchor U.212
Walmart,stage1,"*Chain Store Age* ""Directory of Chain Stores"" 1963–1970; *Discount Store News*; *Discount Merchandising*; D&B discount volumes; AUDITS & Surveys; the Cornell study; Hoover's [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNTRIED / route-blocked — A3 §7.2(d)'s named missing witness (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED / route-blocked — A3 §7.2(d)'s named missing witness),Owner at release time: — | anchor U.213
Walmart,stage1,"the catalogued 1962 ""First Walmart Advertisement"" image [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNTRIED read (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED read),Owner at release time: — | anchor U.214
Walmart,stage1,"the FY1972 report's direct-server text layer (23,989 B) and the 27-item FY1972–FY1998 run list held in `00_universe/harvest/corporate_print/`, unread by every Stage-1 dossier [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","ARRIVED DURING THE RUN — being read now (§14 rule 11) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: ARRIVED DURING THE RUN — being read now (§14 rule 11)),Owner at release time: mining agent | anchor U.215
Walmart,stage1,"Wayback `matchType=prefix` (HTTP 504); December 1970 SEC bulletin (HTTP 500, one attempt); Google Books keyed v1 `dateRestrict`; Federal Register pre-1994 via govinfo; the 1970-08-27/09-03 first-trade cluster [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNANSWERED / UNTRIED (`X-A5/2`, `X-A5/5`, `U-A5/2…5`) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)","UNKNOWN (route state: UNANSWERED / UNTRIED (`X-A5/2`, `X-A5/5`, `U-A5/2…5`))",Owner at release time: — | anchor U.216
Walmart,stage1,FY1979/FY1980 Management's Analysis comparable-store sentences; FY1974/75/77/78 lease-commitment notes; FY1977–79 market-price and dividend tables [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED (local) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED (local)),Owner at release time: — | anchor U.217
Walmart,stage1,"Census of Business 1963/1967 for AR/MO/OK/KS/TX (extract-only, never dumped); the Greensboro chamber trade-area study (`hf-5465.-u-55-g-7`); duplicate BW index bindings as an OCR control; BW/*Stores* page images [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNTRIED (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED),Owner at release time: — | anchor U.218
Walmart,stage1,the 1992 memoir as a text (bytes not in this repository) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED — and it would remain a FOUNDER CLAIM even when read (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED — and it would remain a FOUNDER CLAIM even when read),Owner at release time: — | anchor U.219
Walmart,stage1,FY1981–FY1998 corporate print (rest of the IA run) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED, out of stage — recorded so the run's remaining gap stays visible (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)","UNKNOWN (route state: UNTRIED, out of stage — recorded so the run's remaining gap stays visible)",Owner at release time: — | anchor U.220
Walmart,stage1,"auction / museum documentary family — §14 rule 6's fourth family, never properly tried for this company [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNTRIED (the reason the company-level verdict stays `PROVISIONAL`) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED (the reason the company-level verdict stays `PROVISIONAL`)),Owner at release time: — | anchor U.221
Walmart,stage1,the genre control: do other 1950s–60s printed annual reports state a founding rationale? — the only test available for §C's silence [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED (non-Walmart documents) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED (non-Walmart documents)),Owner at release time: — | anchor U.222
